"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"L'enlèvement","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","11,4 x 16,5 cm","11,4 x 16,5 ","11,4 "," 16,5 ","","0","Inconnu","0","Acquisition","5411","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068853"
"Autoportrait de l'artiste en médaillon","Jean Marius FOUQUE ","Jean Marius","FOUQUE","1873","Arles (Bouches-du-Rhône), 1819 - Lorient (Morbihan), 1880","Arles (Bouches-du-Rhône)"," 1819 "," Lorient (Morbihan)"," 1880","Peinture","2","Huile sur toile","65 x 54 cm","65 x 54 ","65 "," 54 ","","2013","Don","1","Don Bertrand et Frédéric Fouque en 2013","13.9.2.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000105807"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1890","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","28 x 22,4 cm6,5 x 12,1 cm (hors marge)","28 x 22,4 ","28 "," 22,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2733","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143198"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1890","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","28 x 22,4 cm6,4 x 11,9 cm (hors marge)","28 x 22,4 ","28 "," 22,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2734","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143199"
"Guérison d'un possédé","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et rehaut gris sur papier","27,3 x 24,5 cm","27,3 x 24,5 ","27,3 "," 24,5 ","","0","Inconnu","0","Acquisition","3998","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064826"
"Portrait de jeune femme","Gustave-Lucien MARQUERIE","Gustave-Lucien","MARQUERIE","avant 1872","Paris (France), 1825 - ?, 1909","Paris (France)"," 1825 "," ?"," 1909","Peinture","2","Le visage de face, elle porte un corsage noir, avec un col blanc et une cravate bleue ; aux oreilles, des pendants de corail.Huile sur toile","46,3 x 38 x 2 cm","46,3 x 38 x 2 ","46,3 "," 38 "," 2 ","1872","Achat","3","Achat en 1872","1097","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004244"
"Homme assis à une table se penche en arrière et tourne la tête à droite","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","16 x 7,5 cm","16 x 7,5 ","16 "," 7,5 ","","0","Inconnu","0","Acquisition","5738","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069783"
"Portrait de Madame Chauvelon","Alexandre CHANTRON","Alexandre","CHANTRON","1912","Nantes (Loire-Atlantique), 1842 - ?, 1918","Nantes (Loire-Atlantique)"," 1842 "," ?"," 1918","Dessin","3","Crayon noir rehaussé de sanguine sur papier vergé Ingres","52,8 x 42,8 cm","52,8 x 42,8 ","52,8 "," 42,8 ","","1918","Don","1","Don en 1918","2780","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001502"
"Portrait d'enfant","René de CHATEAUBRIANT ","René de","CHATEAUBRIANT","achevé en 1878","Saint-Sulpice-en-Pareds (Vendée), ? - ?, 1890","Saint-Sulpice-en-Pareds (Vendée)"," ? "," ?"," 1890","Dessin","3","Sanguine","18 x 18 cm","18 x 18 ","18 "," 18 ","","1910","Don","1","Don de l'artiste en 1910","1324","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006381"
"Deux études de fauchers. Une étude de moissonneur à la faucille","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume et mine de plomb sur papier","26,2 x 18,5 cm","26,2 x 18,5 ","26,2 "," 18,5 ","","0","Inconnu","0","Acquisition","4663","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066209"
"Paysage","Maxime MAUFRA","Maxime","MAUFRA","1886","Nantes (Loire-Atlantique), 1861 - Poncé-sur-le-Loir (Sarthe), 1918","Nantes (Loire-Atlantique)"," 1861 "," Poncé-sur-le-Loir (Sarthe)"," 1918","Peinture","2","Huile sur carton","24 x 32 cm","24 x 32 ","24 "," 32 ","","1912","Don","1","Don de M. Maxime Maufra en 1912","1917","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004024"
"J. Lebaudy / Définition / Le franc international or est le poids de ...","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Crayon, plume, encre, peinture à l'huile sur papier contrecollé sur carton","23,1 x 37 cm","23,1 x 37 ","23,1 "," 37 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.46.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003902"
"Etude de feuilles de chêne et d'amandier","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Crayon sur papier","31,4 x 19,7 cm","31,4 x 19,7 ","31,4 "," 19,7 ","","0","Inconnu","0","Acquisition","2016.0.35.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143823"
"La Prêtresse d'Eleusis","Charles-Auguste LEBOURG","Charles-Auguste","LEBOURG","1874","Nantes (Loire-Atlantique), 1829 - Paris (France), 1906","Nantes (Loire-Atlantique)"," 1829 "," Paris (France)"," 1906","Sculpture","1","Marbre","200 x 70 x 90 cm","200 x 70 x 90 ","200 "," 70 "," 90 ","1892","Legs","4","Legs de M. Emile André Aimé Cosse en 1892","1814","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005129"
"Etude de jeune homme de dos","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","s.d.","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb et sanguine sur calque.","41,2 x 32,7 cm","41,2 x 32,7 ","41,2 "," 32,7 ","","1986","Achat","3","Achat à Mme Méon en 1986","986.4.22.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005539"
"La procession","Alfred de RICHEMONT","Alfred de","RICHEMONT","1908","Paris (France), 1857 - Paris (France), 1911","Paris (France)"," 1857 "," Paris (France)"," 1911","Peinture","2","Huile sur toile","289 x 216,8 x 5,4 cm","289 x 216,8 x 5,4 ","289 "," 216,8 "," 5,4 ","1912","Don","1","Don Mme veuve de Richemont en 1912","1903","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003243"
"Paysage au cycliste","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1932","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Eau-forte","32,4 x 49,8 cm25 x 30,2 cm (hors marge)","32,4 x 49,8 ","32,4 "," 49,8 ","","1928","Achat","3","Achat à l'artiste en 1928","2543","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002231"
"Comtesse de Rochechouart","Alexandre CHANTRON","Alexandre","CHANTRON","achevé en 1905","Nantes (Loire-Atlantique), 1842 - ?, 1918","Nantes (Loire-Atlantique)"," 1842 "," ?"," 1918","Dessin","3","Crayon noir et fusain sur papier","62,8 x 47,6 cm","62,8 x 47,6 ","62,8 "," 47,6 ","","1918","Don","1","Don en 1918","3365","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005499"
"Neige sur la Seine","André Jacques CHAPUY","André Jacques","CHAPUY","avant 1913","Paris (France), 1882 - Paris (France), 1941","Paris (France)"," 1882 "," Paris (France)"," 1941","Dessin","3","Fusain, gouache sur papier contrecollé sur carton","50,5 x 61,8 cm","50,5 x 61,8 ","50,5 "," 61,8 ","","1913","Dépôt","2","Acquisition en 1913EtatDépôt au Musée des Beaux-Arts de Nantes en 1913","2371 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001506"
"Tête d'homme, de 3/4, sans canotier","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","9,3 x 15,3 cm","9,3 x 15,3 ","9,3 "," 15,3 ","","0","Inconnu","0","Acquisition","5810","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007549"
"Lady Frances Balfour","Edward BURNE-JONES","Edward","BURNE-JONES","1880","Birmingham (Royaume-Uni), 1833 - Londres (Royaume-Uni), 1898","Birmingham (Royaume-Uni)"," 1833 "," Londres (Royaume-Uni)"," 1898","Peinture","2","L'oeuvre est sous un verre anti-refletHuile sur toile","69 x 38 cm","69 x 38 ","69 "," 38 ","","1991","Achat","3","Achat en 1991","9046 ,  991.3.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004382"
"La Leçon de flûte","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Graphite et crayon noir","21 x 15 cm","21 x 15 ","21 "," 15 ","","0","Inconnu","0","Acquisition","1361","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007005"
"Jésus et Madeleine - Des Apôtres","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","17,8 x 18,4 cm","17,8 x 18,4 ","17,8 "," 18,4 ","","0","Inconnu","0","Acquisition","4004","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064832"
"Prométhée attaché à son rocher. Le vautour attaque le buste","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","17 x 17,1 cm","17 x 17,1 ","17 "," 17,1 ","","0","Inconnu","0","Acquisition","4766","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066308"
"Le musicien P. Ladmirault","Sébastien de BOISHÉRAUD","Sébastien de","BOISHÉRAUD","1903","Maisdon-sur-Sèvre (Loire-Atlantique), 1847 - La Montagne (Loire-Atlantique), 1927","Maisdon-sur-Sèvre (Loire-Atlantique)"," 1847 "," La Montagne (Loire-Atlantique)"," 1927","Sculpture","1","MédaillonPlâtre","diamètre: 44 cm","diamètre: 44 ","diamètre: 44 ","","","1938","Don","1","Don de G. de Boishéraud en 1938","2922","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001305"
"Composition de trois personnages nus","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","23,5 x 31 cm","23,5 x 31 ","23,5 "," 31 ","","0","Inconnu","0","Acquisition","4981","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067445"
"Jupiter dans les nuées avec un aigle, en bas deux personnages rudoient un troisième","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","23,5 x 30,8 cm","23,5 x 30,8 ","23,5 "," 30,8 ","","0","Inconnu","0","Acquisition","4991","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067456"
"Jupiter dans les nuées avec un aigle, en bas deux personnages rudoient un troisième","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","23,2 x 31 cm","23,2 x 31 ","23,2 "," 31 ","","0","Inconnu","0","Acquisition","4992","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067457"
"Port de Nantes (Vue prise au bas de la Fosse)","Félix BENOIST","Félix","BENOIST","XIXe siècle","Saumur (Maine-et-Loire), 1818 - Nantes (Loire-Atlantique), 1896","Saumur (Maine-et-Loire)"," 1818 "," Nantes (Loire-Atlantique)"," 1896","Estampe","4","Série : Nantes et la Loire-InférieureLithographie sur papier Canson","19,7 x 28,6 cm","19,7 x 28,6 ","19,7 "," 28,6 ","","1876","Dépôt","2","Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876","3259 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005664"
"Un chasseur ramassant une flèche genou droit en terre","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sr papier","23,1 x 14,4 cm","23,1 x 14,4 ","23,1 "," 14,4 ","","0","Inconnu","0","Acquisition","4702","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000066247"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1888","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","27,9 x 22,4 cm6,5 x 11,9 cm (hors marge)","27,9 x 22,4 ","27,9 "," 22,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2739","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143204"
"Illustration pour Notre-Dame de Paris","Luc-Olivier MERSON","Luc-Olivier","MERSON","1889","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Eau-forte, tirage sur papier","27,2 x 20,4 cm17,4 x 12 cm (hors marge)","27,2 x 20,4 ","27,2 "," 20,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2679","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008271"
"Illustration pour Notre-Dame de Paris","Luc-Olivier MERSON","Luc-Olivier","MERSON","1889","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Eau-forte, tirage sur papier","27,2 x 21,1 cm17,4 x 12,1 cm (hors marge)","27,2 x 21,1 ","27,2 "," 21,1 ","","1925","Don","1","Don de Héritiers Merson en 1925","2682","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008274"
"Eglise st Paul à ...","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1858","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb - papier à dessin blanc","7,3 x 13,5 cm","7,3 x 13,5 ","7,3 "," 13,5 ","","0","Inconnu","0","Acquisition","4524","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007606"
"Diane, les deux bras allongés vers les genoux","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","20,5 x 9,5 cm","20,5 x 9,5 ","20,5 "," 9,5 ","","0","Inconnu","0","Acquisition","5422","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068865"
"Autoportrait","Jean-François SABLET","Jean-François","SABLET","1805","Morges (Suisse), 1745 - Nantes (Loire-Atlantique), 1819","Morges (Suisse)"," 1745 "," Nantes (Loire-Atlantique)"," 1819","Peinture","2","Huile sur toile","23,9 x 20,7 cm","23,9 x 20,7 ","23,9 "," 20,7 ","","1934","Don","1","Don de Melle Crucy en 1934","2147","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006402"
"Portrait de Charles-Etienne de Bourgevin de Vialart, comte de Saint-Morys, enfant.","Jean-Baptiste GREUZE","Jean-Baptiste","GREUZE","2ème moitié XVIIIe siècle","Tournus (Saône-et-Loire), 1725 - Paris (France), 1805","Tournus (Saône-et-Loire)"," 1725 "," Paris (France)"," 1805","Peinture","2","Pendant du n°621, Charles-Etienne étant le fils de Jean-Baptiste de BourgevinHuile sur bois","65 x 54 cm","65 x 54 ","65 "," 54 ","","1852","Don","1","Don de M. Clarke de Feltre en 1852","622","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004929"
"Jules César et ses prisonniers","Rodolphe BRESDIN","Rodolphe","BRESDIN","1878","Montrelais (Loire-Atlantique), 1822 - Sèvres (Hauts-de-Seine), 1885","Montrelais (Loire-Atlantique)"," 1822 "," Sèvres (Hauts-de-Seine)"," 1885","Estampe","4","Lithographie sur papier  contrecollé sur papier","19,7 x 25,6 cm15,6 x 21,3 cm (hors marge)","19,7 x 25,6 ","19,7 "," 25,6 ","","0","Achat","3","Achat à Madame Gallico-Bresdin","08.5.2.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000037273"
"La bonne galette","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1918","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Bois gravé au canif sur papier vergé d'Arches","14 x 12,5 cm (hors marge)","14 x 12,5 ","14 "," 12,5 ","","1966","Don","1","Don de Mme Laboureur en 1966","966.12.50.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003850"
"Portrait d'Antoine Crucy, âgé de 16 ans","Jean-François SABLET","Jean-François","SABLET","1806","Morges (Suisse), 1745 - Nantes (Loire-Atlantique), 1819","Morges (Suisse)"," 1745 "," Nantes (Loire-Atlantique)"," 1819","Peinture","2","Huile sur toile","23,8 x 20,2 cm","23,8 x 20,2 ","23,8 "," 20,2 ","","1939","Legs","4","Legs de M. Antoinette Pinard en 1939","2258","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005321"
"Apothéose de Paris","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Crayon","21 x 13,5 cm","21 x 13,5 ","21 "," 13,5 ","","1957","Don","1","Don Mme Duvergé en 1957","6601","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005605"
"Musée des Beaux-art.Nouveau projet.Avec élargissement à 15 mètres de la Rue de l'Arche-Sèche. Façade.","Gustave BOURGEREL","Gustave","BOURGEREL","mars 1878","Nantes (Loire-Atlantique), 1813 - Nantes (Loire-Atlantique), 1882","Nantes (Loire-Atlantique)"," 1813 "," Nantes (Loire-Atlantique)"," 1882","Dessin","3","Calque collé sur papier, encre, plume, crayon papier","35,5 x 46 cm","35,5 x 46 ","35,5 "," 46 ","","0","Inconnu","0","Acquisition","1298 (1)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000042881"
"Saint Nicolas de Bari","Cosme TURA","Cosme","TURA","s.d.","Ferrare (Italie), 1430? - Ferrare (Italie), 1495?","Ferrare (Italie)"," 1430? "," Ferrare (Italie)"," 1495?","Peinture","2","Peinture sur bois","74 x 37 cm","74 x 37 ","74 "," 37 ","","1810","Achat","3","Achat à M. François Cacault en 1810","177","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004376"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1888","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","28,1 x 22,4 cm6,4 x 11,9 cm (hors marge)","28,1 x 22,4 ","28,1 "," 22,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2704","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143169"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1888","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","28 x 22,5 cm6,4 x 11,9 cm (hors marge)","28 x 22,5 ","28 "," 22,5 ","","1925","Don","1","Don de Héritiers Merson en 1925","2705","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143170"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1888","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","28 x 22,4 cm6,3 x 12 cm (hors marge)","28 x 22,4 ","28 "," 22,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2743","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143462"
"Visage d'homme, âgé, barbu","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","21,5 x 16,5 cm","21,5 x 16,5 ","21,5 "," 16,5 ","","0","Inconnu","0","Acquisition","5735","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069780"
"Homme nu debout tourné vers la gauche, le bras droit en avant","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","crayon noir","34 x 20 cm","34 x 20 ","34 "," 20 ","","0","Inconnu","0","Acquisition","1332","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006997"
"Le devin Tirésias se métamorphosant en femme","Pietro MUTTONI","Pietro","MUTTONI","XVIIe siècle","Vicence (Italie), 1603 - Venise (Italie), 1678","Vicence (Italie)"," 1603 "," Venise (Italie)"," 1678","Peinture","2","Huile sur toile","107 x 142 cm","107 x 142 ","107 "," 142 ","","1896","Achat","3","Achat à M. Dumouillé en 1896","257","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004895"
"Jeune femme en coiffe","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Sanguine sur papier","23 x 15,5 cm","23 x 15,5 ","23 "," 15,5 ","","0","Inconnu","0","Acquisition","5672","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069727"
"Sur une couche, un mort a été recouvert de son manteau","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb et crayon blanc sur papier","9,5 x 24 cm","9,5 x 24 ","9,5 "," 24 ","","0","Inconnu","0","Acquisition","5396","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007244"
"Paris, sous le pont saint Michel","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1931","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","37,7 x 31,5 cm19,9 x 15,1 cm (hors marge)","37,7 x 31,5 ","37,7 "," 31,5 ","","1955","Inconnu","0","Acquisition en 1955","6523(2)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082701"
"Portrait de François Mellinet, membre de la Convention Nationale","Jacques-Louis DAVID","Jacques-Louis","DAVID","avant 1825","Paris (France), 1748 - Bruxelles (Belgique), 1825","Paris (France)"," 1748 "," Bruxelles (Belgique)"," 1825","Peinture","2","De face, vêtu d'une redingote grise et d'un gilet rouge avec jabot blanc ; derrière lui, un rideau soulevé laisse voir une bibliothèqueHuile sur toile","25 x 20,5 cm","25 x 20,5 ","25 "," 20,5 ","","1894","Legs","4","Legs Mellinet en 1894","886","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004109"
"Nature morte. Légumes et singe","David DE KONINCK","David DE","KONINCK","vers 1680","Anvers, 1642? - Bruxelles, 1701?","Anvers"," 1642? "," Bruxelles"," 1701?","Peinture","2","Huile sur toile","120* x 170* cm","120* x 170* ","120* "," 170* ","","1925","Don","1","Don de la Famille Haranchippy-Valentin en 1925","2030","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006058"
"Le chemin de la forêt","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","s.d.","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Burin","19,7 x 14,6 cm","19,7 x 14,6 ","19,7 "," 14,6 ","","1928","Achat","3","Achat à l'artiste en 1928","2580","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002268"
"Déjanire se débat dans les bras de Nessus","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb, crayon brun sur papier calque","27,5 x 27,5 cm","27,5 x 27,5 ","27,5 "," 27,5 ","","0","Inconnu","0","Acquisition","5415","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068857"
